시약이름,CAS NO,제조사 이름,Product Code
1-Pentanol,71-41-0,Sigma Aldrich,PHR2328
Amyl alcohol,71-41-0,Sigma Aldrich,W205605
"2-(2,4-Difluorophenyl)pyridine",391604-55-0,Sigma Aldrich,667676
2-(Chloromethyl)benzimidazole,4857-04-09,Sigma Aldrich,C52055
"1,8-Diamino-3,6-dioxaoctane",929-59-9,Sigma Aldrich,8.18116
"2,2′-(Ethylenedioxy)bis(ethylamine)",929-59-9,Sigma Aldrich,385506
"2,2,4-Trimethylpentane",540-84-1,Sigma Aldrich,360066
"2,2,4-Trimethylpentane",540-84-1,Sigma Aldrich,650439
"2,2,4-Trimethylpentane",540-84-1,Sigma Aldrich,34862
"2,2,4-Trimethylpentane",540-84-1,Sigma Aldrich,360597
"2,2,4-Trimethylpentane",540-84-1,Sigma Aldrich,59030
"2,2,4-Trimethylpentane",540-84-1,Sigma Aldrich,59045
"2,2,4-Trimethylpentane",540-84-1,Sigma Aldrich,32291
"2,2,4-Trimethylpentane",540-84-1,Sigma Aldrich,258776
Density Standard 692 kg/m3,540-84-1,Sigma Aldrich,44964
Isooctane for liquid chromatography LiChrosolv®.,540-84-1,Sigma Aldrich,1.04717
Isooctane for spectroscopy Uvasol®.,540-84-1,Sigma Aldrich,1.04718
Isooctane for gas chromatography ECD and FID SupraSolv®.,540-84-1,Sigma Aldrich,1.1544
MANGANESE(II) NITRATE HYDRATE,15710-66-4,Sigma Aldrich,288640
MANGANESE(II) NITRATE HYDRATE,15710-66-4,Sigma Aldrich,203742
Manganese(III) acetate dihydrate,19513-05-4,Sigma Aldrich,215880
"3,3-Bis(4-hydroxy-2-methylphenyl)-3H-benzo[c][1,2]oxathiole 1,1-dioxide",76-60-8,Sigma Aldrich,-
Bromocresol Green,76-60-8,Sigma Aldrich,114359
Bromocresol Green Sultone Form,76-60-8,Sigma Aldrich,17470
Bromocresol green,76-60-8,Sigma Aldrich,1.08121
Bis(tetrabutylammonium) Dichromate [Oxidizing Reagent],56660-19-6,TCI,B1123
Pyridinium Chlorochromate,26299-14-9,TCI,P0930
Pyridinium Dichromate,20039-37-6,TCI,P0931
Pyridinium Fluorochromate,83042-08-4,TCI,P1088
Quinolinium Dichromate,56549-24-7,TCI,Q0058
Sodium Hypochlorite Pentahydrate,7681-52-9,TCI,S0939
Tetrabutylammonium Perchlorate,1923-70-2,TCI,T0836
Monoperoxyphthalic Acid Magnesium Salt Hexahydrate,84665-66-7,TCI,M0927
tert-Butyl Hydroperoxide (70% in Water),75-91-2,TCI,B3153
Bis(trimethylsilyl) Peroxide (contains Hexamethyldisiloxane) (ca. 30% in Hexane),5796-98-5,TCI,B3497
Cumene Hydroperoxide (contains ca. 20% Aromatic Hydrocarbon),80-15-9,TCI,C2223
Di-tert-butyl Peroxide,110-05-4,TCI,D3411
Hydrogen Peroxide (35% in Water),7722-84-1,TCI,H1222
Methyl Ethyl Ketone Peroxide (ca. 50% in Dimethyl Phthalate),1338-23-4,TCI,M2719
"1-Acetoxy-5-bromo-1,2-benziodoxol-3(1H)-one",1580548-81-7,TCI,A2678
[Bis(trifluoroacetoxy)iodo]benzene,2712-78-9,TCI,B1175
[Bis(trifluoroacetoxy)iodo]pentafluorobenzene,14353-88-9,TCI,B1616
Bis(pyridine)iodonium Tetrafluoroborate,15656-28-7,TCI,B2539
Dess-Martin Periodinane,87413-09-0,TCI,D2045
Dess-Martin Periodinane (8-12% in Dichloromethane),87413-09-0,TCI,D4477
2-Iodosobenzoic Acid,304-91-6,TCI,I0073
Iodobenzene Diacetate,3240-34-4,TCI,I0330
Iodomesitylene Diacetate,33035-41-5,TCI,I0479
2-Iodoxybenzoic Acid (stabilized with Benzoic Acid + Isophthalic Acid),61717-82-6,TCI,I0791
Trisodium Paraperiodate,13940-38-0,TCI,P0077
[Hydroxy(tosyloxy)iodo]benzene,27126-76-7,TCI,P1015
Poly[4-(diacetoxyiodo)styrene],36290-94-5,TCI,P1415
Bis(tetrabutylammonium) Peroxydisulfate,88505-29-7,TCI,B2151
Pyridine - Sulfur Trioxide Complex,26412-87-3,TCI,P0998
Sulfur Trioxide - Triethylamine Complex,761-01-3,TCI,T2136
"4-Acetamido-2,2,6,6-tetramethyl-1-oxopiperidinium Tetrafluoroborate",219543-09-6,TCI,A2065
4-Benzoylpyridine,14548-46-0,TCI,B0306
N-tert-Butylbenzenesulfinimidoyl Chloride [Oxidizing Reagent],49591-20-0,TCI,B2188
N-tert-Butylbenzenesulfenamide,19117-31-8,TCI,B2240
Chloramine B Hydrate,304655-80-9,TCI,C0075
Chloramine T Trihydrate,7080-50-4,TCI,C0076
"Chloranil (ca. 2% in N,N-Dimethylformamide) [for Detection of Primary and Secondary Amines]",118-75-2,TCI,C1770
Ammonium Cerium(IV) Nitrate,16774-21-3,TCI,C1806
3-Chloropyridine N-Oxide,1851-22-5,TCI,C2329
3-Cyanopyridine N-Oxide,14906-64-0,TCI,C3416
Dichloramine T,473-34-7,TCI,D0318
Sodium Dichloroisocyanurate,2893-78-9,TCI,D1003
